dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2642000.0,0.0,0.0,0.0,2642000.0,2025,Art Museum,34,,34
Auditing (City Controller),10599672.0,508573.0,40000.0,0.0,0.0,0.0,0.0,11148245.0,2025,City Controller's Office,61,,61
Board of Ethics,1322433.0,52500.0,7500.0,0.0,0.0,0.0,0.0,1382433.0,2025,Board of Ethics,45,,45
Board of Revision of Taxes,1089023.0,40681.0,17727.0,0.0,0.0,0.0,0.0,1147431.0,2025,Board of Revision of Taxes,63,BRT,63
City Commissioners,11733634.0,18222965.0,3447699.0,0.0,0.0,0.0,0.0,33404298.0,2025,City Commissioner's Office,73,City Commissioners,73
City Council,20700583.0,3521885.0,778650.0,100.0,0.0,100.0,100.0,25001418.0,2025,City Council,01,,01
City Treasurer,1894025.0,3351903.0,43724.0,0.0,0.0,0.0,0.0,5289652.0,2025,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,183057.0,29500.0,1094.0,0.0,0.0,0.0,43505010.0,43718661.0,2025,Civil Service Commission,55,,55
Commerce,5052861.0,7713713.0,150467.0,1005000.0,0.0,0.0,0.0,13922041.0,2025,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2025,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,32795294.0,0.0,0.0,0.0,0.0,0.0,32795294.0,2025,Commerce: Economic Stimulus,42-ES,,42
District Attorney,50075638.0,3378866.0,832275.0,0.0,0.0,0.0,0.0,54286779.0,2025,District Attorney's Office,69,DAO,69
Finance,11712986.0,6119271.0,47024.0,7208000.0,0.0,33506714.0,0.0,58593995.0,2025,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,58291000.0,0.0,58291000.0,2025,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,56003181.0,0.0,0.0,0.0,56003181.0,2025,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1677120077.0,0.0,0.0,0.0,0.0,0.0,0.0,1677120077.0,2025,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,50000.0,2025,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,61246000.0,0.0,0.0,0.0,61246000.0,2025,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2025,Finance: Refunds,35-R,,35
Finance-Reg #32,7200000.0,0.0,0.0,0.0,0.0,0.0,0.0,7200000.0,2025,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,284052590.0,0.0,0.0,0.0,284052590.0,2025,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,180094.0,0.0,0.0,0.0,0.0,0.0,180094.0,2025,Finance: Witness Fees,35-WF,,35
Fire,388463277.0,14043352.0,21289691.0,0.0,0.0,8296986.0,0.0,432093306.0,2025,Fire Department,13,Fire,13
First Judicial District,118482716.0,9075191.0,2343461.0,0.0,0.0,0.0,0.0,129901368.0,2025,First Judicial District,84,FJD,84
Fleet Services,21146675.0,6430287.0,24735853.0,0.0,0.0,0.0,0.0,52312815.0,2025,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,6047245.0,0.0,0.0,0.0,0.0,6047245.0,2025,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,59340820.0,4199722.0,8163098.0,0.0,0.0,0.0,0.0,71703640.0,2025,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,2663744.0,66901.0,28031.0,0.0,0.0,0.0,0.0,2758676.0,2025,Commission on Human Relations,54,Human Relations,54
Human Services,38007007.0,182595641.0,1802170.0,0.0,0.0,0.0,0.0,222404818.0,2025,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,86609.0,0.0,0.0,0.0,0.0,0.0,0.0,86609.0,2025,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,172107.0,10436.0,0.0,0.0,0.0,0.0,0.0,182543.0,2025,L&I: Board of Review,27,,27
Labor,4194853.0,437319.0,21420.0,0.0,0.0,0.0,0.0,4653592.0,2025,Labor,03,,03
Law,19884049.0,9633145.0,184676.0,0.0,0.0,0.0,0.0,29701870.0,2025,Law Department,44,Law,44
Licenses & Inspection,28420282.0,13996444.0,809475.0,0.0,0.0,0.0,0.0,43226201.0,2025,Department of Licenses and Inspections,26,L&I,26
Managing Director,42089856.0,127810327.0,7306014.0,0.0,0.0,350000.0,0.0,177556197.0,2025,Managing Director's Office,10,MDO,10
Managing Director-Citizens Police Oversight Commission,2203640.0,808002.0,12000.0,0.0,0.0,0.0,0.0,3023642.0,2025,MDO: Citizens Police Oversight Commission,10-CP,,10
Managing Director-Clean & Green,1055000.0,0.0,0.0,0.0,0.0,0.0,0.0,1055000.0,2025,MDO: Clean and Green,10-CG,,10
